sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
182.0,3,3,40.4707551,-3.6763472,"Avenida de Burgos, 5",1400000.0,0,0,1,1,1,1.0,91,0,5
246.0,3,3,40.4664511,-3.6757136,"Avenida de Pío XII, 57",795000.0,0,1,0,1,1,0.0,89,0,5
234.0,6,3,40.461511,-3.692907,sor angela de la cruz,785000.0,0,0,1,1,0,3.0,22,0,6
103.0,2,2,40.4874453,-3.672086,Calle de Dulce Chacón,388000.0,0,0,1,1,1,10.0,72,0,16
408.0,4,4,40.4665149,-3.6805614,barrio Nueva España,2340000.0,0,0,1,1,1,0.0,89,0,5
140.0,3,2,40.4636655,-3.6665845,barrio Nueva España,740000.0,0,0,1,1,1,4.0,89,0,5
590.0,3,4,40.4631991,-3.6818789,barrio Nueva España,5800000.0,0,0,1,1,1,4.0,89,2,5
148.0,3,2,40.4608851,-3.6789004,barrio Nueva España,800000.0,0,0,1,1,0,3.0,89,0,5
431.0,3,4,40.4652873,-3.6843837,Mateo Inurria,2600000.0,0,0,0,0,1,0.0,89,3,5
115.0,3,2,40.4832749,-3.6687352,barrio Costillares,450000.0,0,0,1,1,1,5.0,84,0,15
152.0,3,4,40.4640544,-3.6651349,barrio Atalaya,845000.0,0,0,1,1,1,3.0,81,1,15
168.0,3,2,40.4722187,-3.6704833,SERRANO GALVACHE,799000.0,0,0,1,1,1,8.0,84,0,15
144.0,4,2,40.4815899,-3.6752636,barrio Castilla,635000.0,0,1,1,1,1,3.0,91,0,5
188.0,4,4,40.4613394,-3.6684338,barrio Nueva España,850000.0,0,1,1,1,1,4.0,89,0,5
355.0,6,4,40.4639579,-3.6822511,barrio Nueva España,1550000.0,0,0,1,1,1,2.0,89,0,5
168.0,5,2,40.4832267,-3.663875,barrio Costillares,695000.0,0,0,1,1,1,1.0,84,0,15
105.0,2,2,40.4635485,-3.6743007,barrio Nueva España,490000.0,0,0,1,1,0,0.0,89,0,5
271.0,4,4,40.4667991,-3.6837789,barrio Nueva España,2300000.0,0,0,1,1,1,3.0,89,0,5
486.0,5,3,40.4639149,-3.6815614,barrio Nueva España,2590000.0,0,0,1,1,0,4.0,89,1,5
324.0,5,5,40.4633331,-3.6654572,barrio Atalaya,1199000.0,0,0,1,1,1,3.0,81,2,15
